Kelas,Accuracy,Support
H,1.0,87
O,0.9888888888888889,90
W,0.9666666666666667,90
E,0.9662921348314607,89
B,0.9659090909090909,88
C,0.9651162790697675,86
F,0.9555555555555556,90
Z,0.9555555555555556,90
D,0.9540229885057471,87
G,0.9444444444444444,90
P,0.9444444444444444,90
K,0.9310344827586207,87
S,0.9302325581395349,86
T,0.9222222222222223,90
V,0.9222222222222223,90
Y,0.9156626506024096,83
U,0.898876404494382,89
A,0.8977272727272727,88
L,0.8888888888888888,90
R,0.8522727272727273,88
I,0.8333333333333334,90
J,0.8222222222222222,90
X,0.8202247191011236,89
N,0.8181818181818182,88
Q,0.7586206896551724,87
M,0.7078651685393258,89
